ID,Type,Depth,Sector,Branch,TIMESTAMP,Date,Input.volume,d18O.UoS,d2H.UoS,d18O.EPFL,d2H.EPFL
57,Soil Water,50,A,,2018-03-01 10:00,2018-03-01,,NA,NA,-9.52,-68.13
58,Soil Water,50,B,,2018-03-01 10:00,2018-03-01,,NA,NA,-10.64,-78.75
59,Soil Water,50,C,,2018-03-01 10:00,2018-03-01,,NA,NA,-10.4,-78.94
60,Soil Water,100,A,,2018-03-01 10:00,2018-03-01,,NA,NA,-11.74,-86.12
61,Soil Water,100,C,,2018-03-01 10:00,2018-03-01,,NA,NA,-8.81,-66.63
62,Soil Water,150,A,,2018-03-01 10:00,2018-03-01,,NA,NA,-8.4,-63.62
63,Soil Water,150,B,,2018-03-01 10:00,2018-03-01,,NA,NA,-9.51,-68.84
64,Soil Water,150,C,,2018-03-01 10:00,2018-03-01,,NA,NA,-11.36,-83.69
49,Tap Water,,,,2018-04-25 22:15,2018-04-25,26.1,NA,NA,-12.3,-89.65
50,Tap Water,,,,2018-05-02 20:15,2018-05-02,7.1,NA,NA,-12.33,-90.36
959,Tap Water,,,,2018-05-03 21:00,2018-05-03,8.4,NA,NA,NA,NA
960,Tap Water,,,,2018-05-05 23:00,2018-05-05,38.3,NA,NA,NA,NA
1,Soil profile 0,10,,,2018-05-08 9:15,2018-05-08,,-11.98,-91.18,NA,NA
2,Soil profile 0,10,,,2018-05-08 9:15,2018-05-08,,-10.73,-85.99,NA,NA
3,Soil profile 0,25,,,2018-05-08 9:15,2018-05-08,,-12.13,-90.86,NA,NA
4,Soil profile 0,25,,,2018-05-08 9:15,2018-05-08,,-12.12,-91.37,NA,NA
5,Soil profile 0,50,,,2018-05-08 9:15,2018-05-08,,-11.41,-87,NA,NA
6,Soil profile 0,50,,,2018-05-08 9:15,2018-05-08,,-11.44,-87.18,NA,NA
7,Soil profile 0,75,,,2018-05-08 9:15,2018-05-08,,-10.59,-80.18,NA,NA
8,Soil profile 0,75,,,2018-05-08 9:15,2018-05-08,,-10.53,-80.53,NA,NA
9,Soil profile 0,80,,,2018-05-08 9:15,2018-05-08,,-9.54,-72.56,NA,NA
10,Soil profile 0,80,,,2018-05-08 9:15,2018-05-08,,-9.45,-71.62,NA,NA
