time,type,d18O,d2H,ID
08/05/2018 13:30,Xylem,-9.18,-78.28,17
08/05/2018 13:30,Xylem,-9.18,-78.28,18
08/05/2018 13:30,Xylem,-9.18,-78.28,19
16/05/2018 15:00,Xylem,-9.55,-73.89,116
17/05/2018 15:00,Xylem,-7.61,-61.7,137
18/05/2018 15:00,Xylem,-7.28,-61.02,154
19/05/2018 14:55,Xylem,-7.59,-61.49,178
20/05/2018 16:05,Xylem,-6.22,-51.34,182
20/05/2018 22:00,Xylem,-7.3,-59.76,185
21/05/2018 05:30,Xylem,-7.69,-65.2,186
21/05/2018 10:30,Xylem,-5.76,-51.48,187
21/05/2018 14:30,Xylem,-6.64,-56.79,188
22/05/2018 14:30,Xylem,-7.38,-59.98,222
23/05/2018 14:20,Xylem,-7.99,-69.71,224
25/05/2018 14:20,Xylem,-7.45,-63.06,264
27/05/2018 13:45,Xylem,-8.02,-67.22,308
29/05/2018 10:30,Xylem,-8.05,-65.73,330
31/05/2018 14:00,Leaves,4.5,-23.31,357
31/05/2018 14:00,Xylem,-7.48,-61.45,355
02/06/2018 14:00,Leaves,2.68,-32.86,437
02/06/2018 14:00,Xylem,-8.18,-65.4,405
04/06/2018 14:35,Leaves,1.54,-34.48,435
04/06/2018 14:35,Phloem,-8.64,-71.03,436
04/06/2018 14:35,Xylem,-8.88,-70.05,434
06/06/2018 14:45,Leaves,2.71,-27.1,469
06/06/2018 14:45,Phloem,-8.21,-64.69,468
06/06/2018 14:45,Xylem,-7.18,-59.86,467
08/06/2018 16:30,Leaves,0.63,-33.8,480
08/06/2018 16:30,Phloem,-7.26,-59.01,479
08/06/2018 16:30,Xylem,-6.15,-54.82,478
10/06/2018 12:30,Leaves,2.44,-31.11,516
10/06/2018 12:30,Phloem,-7.34,-62.83,515
10/06/2018 12:30,Xylem,-6.04,-59.89,514
14/06/2018 15:15,Leaves,4.7,-27.29,574
14/06/2018 15:15,Phloem,-9.55,-74.24,573
14/06/2018 15:15,Xylem,-8.05,-69.44,572
18/06/2018 14:00,Leaves,7.91,-18.55,647
18/06/2018 14:00,Phloem,-9.03,-72.83,646
18/06/2018 14:00,Xylem,-7.88,-69.97,645
21/06/2018 14:00,Leaves,6.86,-17.24,688
21/06/2018 14:00,Phloem,-9.17,-72.06,687
21/06/2018 14:00,Xylem,-7.67,-68.27,686
21/06/2018 22:20,Leaves,6.27,-19.79,692
21/06/2018 22:20,Phloem,-9.84,-74.96,691
21/06/2018 22:20,Xylem,-8.11,-68.07,690
22/06/2018 05:15,Leaves,5.18,-20.32,695
22/06/2018 05:15,Phloem,-8.93,-69,694
