# meteo data from ECHO meteo data at EPFL
# time is timestamp yyyy-mm-dd HH:MM
# T is air temperature in degree Celsius
# rh is relative humidity in %
time,T,rh
2018-02-05 00:00,2.46,68
2018-02-05 00:15,2.5,69
2018-02-05 00:30,2.53,69
2018-02-05 00:45,2.58,70
2018-02-05 01:00,2.47,71
2018-02-05 01:15,2.38,72
2018-02-05 01:30,2.26,73
2018-02-05 01:45,2.15,74
2018-02-05 02:00,2.09,75
2018-02-05 02:15,2.05,75
2018-02-05 02:30,2,76
2018-02-05 02:45,1.99,77
2018-02-05 03:00,1.88,78
2018-02-05 03:15,1.72,80
2018-02-05 03:30,1.57,81
2018-02-05 03:45,1.43,83
2018-02-05 04:00,1.32,83
2018-02-05 04:15,1.27,83
2018-02-05 04:30,1.35,83
2018-02-05 04:45,1.33,83
2018-02-05 05:00,1.33,83
2018-02-05 05:15,1.36,82
2018-02-05 05:30,1.38,82
2018-02-05 05:45,1.35,82
2018-02-05 06:00,1.22,82
2018-02-05 06:15,1.01,82
2018-02-05 06:30,0.92,83
2018-02-05 06:45,0.99,83
2018-02-05 07:00,1.04,82
2018-02-05 07:15,1.14,82
2018-02-05 07:30,1.16,82
2018-02-05 07:45,1.13,82
2018-02-05 08:00,1.13,82
2018-02-05 08:15,1.24,81
2018-02-05 08:30,1.31,81
2018-02-05 08:45,1.44,80
2018-02-05 09:00,1.49,79
2018-02-05 09:15,1.67,79
2018-02-05 09:30,1.84,78
2018-02-05 09:45,1.99,77
2018-02-05 10:00,2.2,77
2018-02-05 10:15,2.32,76
2018-02-05 10:30,2.44,75
2018-02-05 10:45,2.59,75
2018-02-05 11:00,2.74,75
2018-02-05 11:15,2.87,76
2018-02-05 11:30,2.94,77
2018-02-05 11:45,3.23,78
2018-02-05 12:00,3.56,77
2018-02-05 12:15,4.04,75
2018-02-05 12:30,4.17,73
2018-02-05 12:45,3.8,73
2018-02-05 13:00,3.63,73
2018-02-05 13:15,3.68,73
2018-02-05 13:30,3.77,73
2018-02-05 13:45,3.74,72
2018-02-05 14:00,3.66,73
2018-02-05 14:15,3.67,73
2018-02-05 14:30,3.7,72
2018-02-05 14:45,3.58,72
2018-02-05 15:00,3.94,71
2018-02-05 15:15,4.24,69
2018-02-05 15:30,4.41,68
2018-02-05 15:45,4.99,67
2018-02-05 16:00,4.23,68
2018-02-05 16:15,4.11,68
2018-02-05 16:30,3.75,69
2018-02-05 16:45,3.51,70
2018-02-05 17:00,3.23,71
2018-02-05 17:15,2.77,73
2018-02-05 17:30,2.57,73
2018-02-05 17:45,2.58,74
2018-02-05 18:00,2.62,74
2018-02-05 18:15,2.63,74
2018-02-05 18:30,2.61,73
2018-02-05 18:45,2.58,73
2018-02-05 19:00,2.59,73
2018-02-05 19:15,2.44,74
2018-02-05 19:30,2.27,74
2018-02-05 19:45,2.16,74
2018-02-05 20:00,1.98,74
2018-02-05 20:15,1.89,74
2018-02-05 20:30,1.86,75
2018-02-05 20:45,1.87,75
2018-02-05 21:00,1.87,75
2018-02-05 21:15,1.9,75
2018-02-05 21:30,1.9,75
2018-02-05 21:45,1.86,76
2018-02-05 22:00,1.79,76
2018-02-05 22:15,1.82,75
2018-02-05 22:30,1.86,75
2018-02-05 22:45,1.87,76
2018-02-05 23:00,1.78,76
2018-02-05 23:15,1.79,76
2018-02-05 23:30,1.67,77
2018-02-05 23:45,1.72,76
2018-02-06 00:00,1.68,77
2018-02-06 00:15,1.63,76
2018-02-06 00:30,1.51,76
2018-02-06 00:45,1.4,77
2018-02-06 01:00,1.3,77
2018-02-06 01:15,1.29,77
2018-02-06 01:30,1.24,77
2018-02-06 01:45,1.14,78
2018-02-06 02:00,1.1,78
2018-02-06 02:15,1.05,78
2018-02-06 02:30,0.99,78
